Method,PSNR_dB,SSIM,Runtime_s
Inverse (Custom),12.3634087782874,0.150985054808583,0.0724993
Wiener (Custom),22.7946216011359,0.743889795082523,0.006434
Lucy (Custom),21.0264536117643,0.640075690022355,0.0434041
Regularized (Custom),21.946450331335,0.675450110241638,0.0062075
Wiener (Built-in),26.1501328558593,0.766008153501745,0.070288
Lucy (Built-in),22.9937816337948,0.689913773044941,0.1407316
Regularized (Built-in),31.7777361929469,0.903136882645693,0.1198622
