Method,sigma_0,sigma_0_001,sigma_0_01,sigma_0_05
Inverse,12.3634087782874,11.4152585802514,11.3927490795891,11.2838849424855
Wiener,22.7946216011359,13.4905880716306,11.951334302125,11.5809557462709
Lucy,21.0264536117643,19.9884416794237,15.4382081288704,9.82812303473148
Regularized,21.946450331335,18.2773118486492,14.4251685719808,12.506732829816
