Method,Custom_PSNR,BuiltIn_PSNR,Abs_Diff_dB
Wiener,22.7946216011359,26.1501328558593,3.35551125472344
Lucy-Richardson,21.0264536117643,22.9937816337948,1.96732802203057
Regularized,21.946450331335,31.7777361929469,9.8312858616119
