Method,L10,L20,L30,L40,L50
Inverse,13.5310179487384,13.7449176882763,12.3634087782874,13.3495066788575,12.0730851154468
Wiener,26.2772952411702,24.7678694990578,22.7946216011359,18.8042397779504,20.6596794072325
Lucy,25.1467595672047,22.3252057680478,21.0264536117643,20.1487827565311,19.7109976848233
Regularized,24.3589416566234,22.2600789649991,21.946450331335,21.0579319109102,21.9217744974009
