Iterations,Custom_PSNR,BuiltIn_PSNR,Custom_SSIM,BuiltIn_SSIM
1,18.9088601790615,18.9088601667791,0.567707551936465,0.567707552284352
5,19.650419443535,20.0150944504746,0.592224213375927,0.603743695528598
10,20.2469825596386,21.3871649561787,0.613238736757012,0.646666412697708
15,20.6842633114923,22.3038114177889,0.628516786019495,0.670388721899253
20,21.0264536117643,22.9937816337948,0.640075690022355,0.689913773044941
25,21.3053535550148,23.6989949303175,0.649137044898993,0.707644236294293
30,21.5395530734702,24.2421039054209,0.656509184066527,0.717290004520683
40,21.9174609574876,25.1386759637472,0.668113985011207,0.73127275591682
50,22.2169538920087,25.8855044541308,0.677243709549199,0.742475807453145
