Row,theta_40,theta_45,theta_50
len_25,13.897734651482,14.9707435373351,15.4978359489428
len_30,14.174121631835,22.7946216011359,13.8978208928181
len_35,13.4118076722162,15.3368831263963,15.1755493909047
